Code,districtName,division,telescopeCount,telescopeModel,contactPerson,contactNumber
BD-01,Bagerhat,Khulna,0,,,
BD-02,Bandarban,Chittagong,1,Celestron NexStar 8SE,Arif Rahman,+8801711223344
BD-03,Barguna,Barisal,0,,,
BD-04,Barisal,Barisal,1,Sky-Watcher Evostar 72ED,Tasnim Ahmed,+8801811223344
BD-05,Bhola,Barisal,0,,,
BD-06,Bogra,Rajshahi,1,Meade LX90-ACF 8,Dr. Imran Khan,+8801911223345
BD-07,Brahmanbaria,Chittagong,0,,,
BD-08,Chandpur,Chittagong,0,,,
BD-09,Chittagong,Chittagong,12,Orion SkyQuest XT10g,Prof. S. Choudhury,+8801511223344
BD-10,Chuadanga,Khulna,0,,,
BD-11,Comilla,Chittagong,3,Celestron Omni XLT AZ 102,Fahim Shahriar,+8801611223344
BD-12,Cox's Bazar,Chittagong,5,Sky-Watcher Esprit 100ED,Nurun Nabi,+8801311223344
BD-13,Dhaka,Dhaka,2,Planewave CDK14 & Celestron C11,Astro-Lab Operations,+8801211223344
BD-14,Dinajpur,Rangpur,0,,,
BD-15,Faridpur,Dhaka,0,,,
BD-16,Feni,Chittagong,1,Celestron Inspire 100AZ,Zahid Hasan,+8801711223355
BD-17,Gaibandha,Rangpur,0,,,
BD-18,Gazipur,Dhaka,8,William Optics Zenithstar 73,M. A. Rahman,+8801711223366
BD-19,Gopalganj,Dhaka,0,,,
BD-20,Habiganj,Sylhet,0,,,
BD-21,Jamalpur,Mymensingh,0,,,
BD-22,Jessore,Khulna,2,Sky-Watcher Classic 200P,Rashedul Islam,+8801811223377
BD-23,Jhalokati,Barisal,0,,,
BD-24,Jhenaidah,Khulna,0,,,
BD-25,Joypurhat,Rajshahi,0,,,
BD-26,Khagrachhari,Chittagong,0,,,
BD-27,Khulna,Khulna,1,Celestron NexStar 6SE,Dr. Farhana Yasmin,+8801911223388
BD-28,Kishoreganj,Dhaka,0,,,
BD-29,Kurigram,Rangpur,0,,,
BD-30,Kushtia,Khulna,0,,,
BD-31,Lakshmipur,Chittagong,0,,,
BD-32,Lalmonirhat,Rangpur,0,,,
BD-33,Madaripur,Dhaka,0,,,
BD-34,Magura,Khulna,0,,,
BD-35,Manikganj,Dhaka,0,,,
BD-36,Meherpur,Khulna,0,,,
BD-37,Moulvibazar,Sylhet,4,Orion Sirius ED80,Syed Rafiqul Ali,+8801511223399
BD-38,Munshiganj,Dhaka,0,,,
BD-39,Mymensingh,Mymensingh,3,Celestron NexStar 130SLT,Ahsan Habib,+8801611223399
BD-40,Naogaon,Rajshahi,0,,,
BD-41,Narail,Khulna,0,,,
BD-42,Narayanganj,Dhaka,1,Sky-Watcher Startravel 102,Tamim Iqbal,+8801311223399
BD-43,Narsingdi,Dhaka,0,,,
BD-44,Natore,Rajshahi,0,,,
BD-45,Nawabganj,Rajshahi,0,,,
BD-46,Netrokona,Mymensingh,0,,,
BD-47,Nilphamari,Rangpur,0,,,
BD-48,Noakhali,Chittagong,0,,,
BD-49,Pabna,Rajshahi,2,Bresser Messier AR-102,Asif Newaz,+8801711224400
BD-50,Panchagarh,Rangpur,1,Celestron Omni XLT102,S. M. Shafi,+8801811224400
BD-51,Patuakhali,Barisal,0,,,
BD-52,Pirojpur,Barisal,0,,,
BD-53,Rajbari,Dhaka,0,,,
BD-54,Rajshahi,Rajshahi,7,Sky-Watcher Explorer 200P,Prof. S. R. Palo,+8801911224400
BD-55,Rangamati,Chittagong,3,Celestron Advanced VX 8,Kalyan Chakma,+8801511224411
BD-56,Rangpur,Rangpur,2,Orion SkyView Pro 8,M. Abdullah,+8801611224422
BD-57,Satkhira,Khulna,0,,,
BD-58,Shariatpur,Dhaka,0,,,
BD-59,Sherpur,Mymensingh,0,,,
BD-60,Sirajganj,Rajshahi,0,,,
BD-61,Sunamganj,Sylhet,0,,,
BD-62,Sylhet,Sylhet,9,Sky-Watcher Esprit 120ED,Dr. Rezwan Ahmed,+8801311224433
BD-63,Tangail,Dhaka,0,,,
BD-64,Thakurgaon,Rangpur,0,,,
